Page,Clicks,Impressions,CTR,Position
https://www.tatielou.co.uk/,109,214,50.93%,9.32
https://www.tatielou.co.uk/pages/about-us,21,163,12.88%,2.63
https://www.tatielou.co.uk/pages/workshops,3,122,2.46%,44.95
https://www.tatielou.co.uk/collections/cushions,2,15,13.33%,8.2
https://www.tatielou.co.uk/products/copy-of-shibori-cushions,1,109,0.92%,4.69
https://www.tatielou.co.uk/products/shibori-chevron-small-cushion-natural,1,26,3.85%,16.27
https://www.tatielou.co.uk/collections/blankets,1,23,4.35%,6.96
https://www.tatielou.co.uk/collections/wallpaper-samples,0,266,0%,81.37
https://www.tatielou.co.uk/collections/square-cushions,0,139,0%,79.44
https://www.tatielou.co.uk/pages/wall-paper-guide,0,65,0%,41.92
https://www.tatielou.co.uk/pages/events,0,49,0%,19.22
https://www.tatielou.co.uk/blogs/news/top-drawer-and-spotted-award,0,41,0%,33.85
https://www.tatielou.co.uk/products/kumo-shibori-indigo-babygrow,0,32,0%,50.81
https://www.tatielou.co.uk/products/kumo-shibori-emerald-and-indigo-babygrow,0,30,0%,44.87
https://www.tatielou.co.uk/collections/wash-bags,0,30,0%,55.7
https://www.tatielou.co.uk/collections/fabric,0,26,0%,6.08
https://www.tatielou.co.uk/pages/bespoke-services,0,26,0%,17.54
https://www.tatielou.co.uk/collections/art-prints,0,24,0%,64.46
https://www.tatielou.co.uk/a/contact,0,22,0%,7.18
https://www.tatielou.co.uk/collections/kids/products/shibori-cerise-and-indigo-kids-short-sleeve-t-shirt,0,22,0%,36.95
https://www.tatielou.co.uk/collections/bed-linen/products/dot-to-dot-shibori-pillow-case-single,0,22,0%,43.5
https://www.tatielou.co.uk/pages/wholesale-trade,0,19,0%,34.26
https://www.tatielou.co.uk/collections/wallpaper,0,18,0%,16.28
https://www.tatielou.co.uk/products/copy-of-dot-to-dot-shibori-pillow-case-single,0,18,0%,43.17
https://www.tatielou.co.uk/products/shibori-block-scarf,0,16,0%,9.06
https://www.tatielou.co.uk/products/shibori-grey-and-indigo-kids-short-sleeve-t-shirt,0,16,0%,24.81
https://www.tatielou.co.uk/products/shibori-indigo-rust-dyed-vest,0,16,0%,24.81
https://www.tatielou.co.uk/products/shibori-chevron-forever-tote-bag,0,15,0%,15.13
https://www.tatielou.co.uk/collections/bags/products/shibori-chevron-forever-tote-bag-ocean,0,15,0%,24.87
https://www.tatielou.co.uk/collections/lampshades,0,15,0%,52.13
https://www.tatielou.co.uk/products/shibori-stripe-indigo-babygrow,0,14,0%,13.29
https://www.tatielou.co.uk/products/pompom-cushion,0,14,0%,41.29
https://www.tatielou.co.uk/products/shibori-grey-and-indigo-babygrow,0,13,0%,15.77
https://www.tatielou.co.uk/products/shibori-indigo-babygro-unisex,0,13,0%,17.69
https://www.tatielou.co.uk/products/shibori-indigo-and-fuchsia-dyed-vest,0,13,0%,24
https://www.tatielou.co.uk/products/shibori-stripe-canvas-forever-tote-bag,0,13,0%,29.38
https://www.tatielou.co.uk/products/duvet-covers,0,11,0%,11.45
https://www.tatielou.co.uk/blogs/news,0,11,0%,14.18
https://www.tatielou.co.uk/products/shibori-indigo-and-grey-dyed-vest,0,11,0%,25.18
https://www.tatielou.co.uk/products/shibori-chevron-forever-tote-bag-orange,0,11,0%,27.73
https://www.tatielou.co.uk/collections/front-page/products/shibori-triangle-napkins,0,10,0%,21.4
https://www.tatielou.co.uk/pages/process,0,9,0%,6.67
https://www.tatielou.co.uk/products/nui-burst,0,8,0%,4
https://www.tatielou.co.uk/pages/delivery-returns,0,7,0%,7.43
https://www.tatielou.co.uk/pages/press,0,6,0%,3
https://www.tatielou.co.uk/account/login,0,4,0%,21.5
https://www.tatielou.co.uk/account/register,0,2,0%,1
https://www.tatielou.co.uk/checkouts,0,2,0%,32
