Page,Revenue_Dummy,,
https://www.tatielou.co.uk/,211,,
https://www.tatielou.co.uk/pages/about-us,383,,
https://www.tatielou.co.uk/pages/workshops,885,,
https://www.tatielou.co.uk/collections/cushions,636,,
https://www.tatielou.co.uk/products/copy-of-shibori-cushions,772,,
https://www.tatielou.co.uk/products/shibori-chevron-small-cushion-natural,204,,
https://www.tatielou.co.uk/collections/blankets,951,,
https://www.tatielou.co.uk/collections/wallpaper-samples,891,,
https://www.tatielou.co.uk/collections/square-cushions,106,,
https://www.tatielou.co.uk/pages/wall-paper-guide,356,,
https://www.tatielou.co.uk/pages/events,103,,
https://www.tatielou.co.uk/blogs/news/top-drawer-and-spotted-award,553,,
https://www.tatielou.co.uk/products/kumo-shibori-indigo-babygrow,796,,
https://www.tatielou.co.uk/products/kumo-shibori-emerald-and-indigo-babygrow,73,,
https://www.tatielou.co.uk/collections/wash-bags,54,,
